tech_test,savedsearch,index,source,sourcetype,custom
AWS,ssphp_use_case_dns_001_cis_1-2,ssphp_metrics_data,accounts_GetAlternateContact,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-4,ssphp_metrics_data,iam_GetAccountSummary,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-5,ssphp_metrics_data,iam_GetAccountSummary,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-6,ssphp_metrics_data,iam_GetAccountSummary,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-6,ssphp_metrics_data,iam_ListVirtualMfaDevices,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-8,ssphp_metrics_data,iam_GetAccountPasswordPolicy,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-9,ssphp_metrics_data,iam_GetAccountPasswordPolicy,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-10,ssphp_metrics_data,iam_GetCredentialReport,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-11,ssphp_metrics_data,iam_GetCredentialReport,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-12,ssphp_metrics_data,iam_GetCredentialReport,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-13,ssphp_metrics_data,iam_ListAccessKeys,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-14,ssphp_metrics_data,iam_GetCredentialReport,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-15,ssphp_metrics_data,iam_ListUsers,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-16,ssphp_metrics_data,iam_ListPolicies,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-17,ssphp_metrics_data,iam_EntitiesForPolicyOutput,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-19,ssphp_metrics_data,iam_ListServerCertificates,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-20,ssphp_metrics_data,accessanalyzers_ListAnalyzers,ssphp:aws:json,
AWS,ssphp_use_case_dns_001_cis_1-22,ssphp_metrics_data,iam_EntitiesForPolicyOutput,ssphp:aws:json,
AWS,ssphp_use_case_dns_002_cis_2-1-1,ssphp_metrics_data,s3_GetBucketPolicy,ssphp:aws:json,
AWS,ssphp_use_case_dns_002_cis_2-1-2,ssphp_metrics_data,s3_GetBucketVersioning,ssphp:aws:json,
AWS,ssphp_use_case_dns_002_cis_2-1-4,ssphp_metrics_data,s3_GetPublicAccessBlock,ssphp:aws:json,
AWS,ssphp_use_case_dns_002_cis_2-1-4,ssphp_metrics_data,s3control_GetPublicAccessBlock,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-1,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-2,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-3,ssphp_metrics_data,s3_GetBucketPolicy,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-4,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-5,ssphp_metrics_data,config_DescribeConfigurationRecordersOutput,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-6,ssphp_metrics_data,s3_GetBucketLogging,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-7,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-8,ssphp_metrics_data,kms_DescribeKey,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-9,ssphp_metrics_data,ec2_DescribeVpcs,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-9,ssphp_metrics_data,ec2_DescribeFlowLogs,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-10,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_003_cis_3-11,ssphp_metrics_data,cloudtrail_DescribeTrails,ssphp:aws:json,
AWS,ssphp_use_case_dns_004_cis_4-16,ssphp_metrics_data,securityhub_DescribeHub,ssphp:aws:json,
AWS,ssphp_use_case_dns_dfe_2-0,ssphp_metrics_data,list_users,ssphp:aws:json,
AWS,ssphp_use_case_dns_dfe_2-0,ssphp_metrics_data,get_user_policy,ssphp:aws:json,
AWS,ssphp_use_case_dns_dfe_2-0,ssphp_metrics_data,get_attached_user_policy,ssphp:aws:json,
AWS,ssphp_use_case_dns_dfe_2-0,ssphp_metrics_data,groups,ssphp:aws:json,
AWS,ssphp_use_case_dns_dfe_3-0,aws_cloudtrail,,,
AWS,ssphp_use_case_dns_dfe_5-0,ssphp_metrics_data,hosted_zones_from_dns,ssphp:aws:json,
AZURE,ssphp_use_case_azure_001_cis_1-1-1,ssphp_metrics_data,,m365:identitySecurityDefaultsEnforcementPolicy,
AZURE,ssphp_use_case_azure_001_cis_1-1-4,ssphp_metrics_data,,m365:control_score,controlName=~aad_sign_in_freq_session_timeout~
AZURE,ssphp_use_case_azure_001_cis_1-2-1,ssphp_metrics_data,/v1.0/identity/conditionalAccess/namedLocations,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-2-2,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-2-4,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-2-5,ssphp_metrics_data,/v1.0/identity/conditionalAccess/policies,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-3,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-7,ssphp_metrics_data,/v1.0/groupSettings,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-11,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-12,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-14,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-15,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-16,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-19,ssphp_metrics_data,/beta/policies/authorizationPolicy,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-21,ssphp_metrics_data,/v1.0/groupSettings,ssphp:ms_graph:json,
AZURE,ssphp_use_case_azure_001_cis_1-23,ssphp_metrics_data,,SSPHP.azure.role_definitions,
AZURE,ssphp_use_case_azure_001_cis_1-24,ssphp_metrics_data,,SSPHP.azure.role_assignment,
AZURE,ssphp_use_case_azure_001_cis_1-24,ssphp_metrics_data,,SSPHP.azure.role_definitions,
AZURE,ssphp_use_case_azure_001_cis_1-24,ssphp_metrics_data,,SSPHP.azure.subscriptions,
AZURE,ssphp_use_case_azure_001_cis_1-25,ssphp_metrics_data,,SSPHP.azure.subscription_policies,
AZURE,ssphp_use_case_azure_002_cis_2-1-14,ssphp_metrics_data,,Microsoft.Authorization/policyAssignments,
AZURE,ssphp_use_case_azure_002_cis_2-1-15,ssphp_metrics_data,,Microsoft.Security/autoProvisioningSettings,
AZURE,ssphp_use_case_azure_002_cis_2-1-18,ssphp_metrics_data,,Microsoft.Security/securityContacts,
AZURE,ssphp_use_case_azure_002_cis_2-1-19,ssphp_metrics_data,,Microsoft.Security/securityContacts,
AZURE,ssphp_use_case_azure_002_cis_2-1-20,ssphp_metrics_data,,Microsoft.Security/securityContacts,
AZURE,ssphp_use_case_azure_002_cis_2-1-21,ssphp_metrics_data,,Microsoft.Security/settings,
AZURE,ssphp_use_case_azure_002_cis_2-1-22,ssphp_metrics_data,,Microsoft.Security/settings,
AZURE,ssphp_use_case_azure_004_cis_4-1-3,ssphp_metrics_data,,Microsoft.Sql/servers/encryptionProtector,
GITHUB,ssphp_use_case_github_001_cis_1-1-3,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-3,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-4,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-4,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-5,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-5,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-6,ssphp_metrics_data,*codeowners/errors,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-7,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-7,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-9,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-9,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-11,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-11,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-12,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-12,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-14,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-14,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-15,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-15,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-20,ssphp_metrics_data,*/branches/*/protection,github,
GITHUB,ssphp_use_case_github_001_cis_1-1-20,ssphp_metrics_data,/repos/*/rules/branches/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-2-1,ssphp_metrics_data,github:*,github,
GITHUB,ssphp_use_case_github_001_cis_1-2-1,ssphp_metrics_data,/repos/*/SECURITY.md,github,
GITHUB,ssphp_use_case_github_001_cis_1-2-7,ssphp_metrics_data,github:*,github,
GITHUB,ssphp_use_case_github_001_cis_1-3-4,ssphp_metrics_data,github:*,github,
GITHUB,ssphp_use_case_github_001_cis_1-3-4,ssphp_metrics_data,/orgs/*,github,
GITHUB,ssphp_use_case_github_001_cis_1-5-1,ssphp_metrics_data,/repos/*/*/secret-scanning/alerts,github,
GITHUB,ssphp_use_case_github_001_cis_1-5-4,ssphp_metrics_data,/repos/*code-scanning*/default-setup,github,
GITHUB,ssphp_use_case_github_001_cis_1-5-5,ssphp_metrics_data,/repos/*/*/dependabot/alerts,github,
GITHUB,ssphp_use_case_github_dependabot,ssphp_metrics_data,*dependabot/alerts,github,
GITHUB,ssphp_use_case_github_dfe_1-0,ssphp_metrics_data,*/dependabot/alerts*,github,
GITHUB,ssphp_use_case_github_sast_1-0,ssphp_metrics_data,*code-scanning/alerts,github,
GITHUB,ssphp_use_case_github_sast_5-1,ssphp_metrics_data,github:*,github,
GITHUB,ssphp_use_case_github_sast_5-1,ssphp_metrics_data,/repos/*/actions/workflows,github,
GITHUB,ssphp_use_case_github_sast_5-1,ssphp_metrics_data,*/contents/.github/workflows*,github,
GITHUB,ssphp_use_case_github_sast_5-1,ssphp_metrics_data,/repos/*/actions/runs?status=success&per_page=100,github,
GITHUB,ssphp_use_case_github_sast_5-1,ssphp_metrics_data,*/actions/jobs*,github,
GITHUB,ssphp_use_case_github_sast_5-2,ssphp_metrics_data,github:*,github,
GITHUB,ssphp_use_case_github_sast_5-2,ssphp_metrics_data,https://sonarcloud.io/api/components/search_projects?*,sonar_cloud,
GITHUB,ssphp_use_case_github_secrets,ssphp_metrics_data,*secret-scanning/alerts,github,
ADO,ssphp_use_case_ado_001_cis_1-1-3,ssphp_metrics_data,repo_policy_joins:*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-3,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-3,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/policy/configurations?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-4,ssphp_metrics_data,repo_policy_joins:*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-4,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-4,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/policy/configurations?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-9,ssphp_metrics_data,repo_policy_joins:*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-9,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-9,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/policy/configurations?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-11,ssphp_metrics_data,repo_policy_joins:*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-11,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-11,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/policy/configurations?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-14,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-14,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-16,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-16,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-17,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-17,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-20,ssphp_metrics_data,repo_policy_joins:*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-20,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-1-20,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/policy/configurations?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-2,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-2,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-3,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-3,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-7,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-2-7,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-5-1,ssphp_metrics_data,*:https://*/_apis/accesscontrollists/*,ADO,
ADO,ssphp_use_case_ado_001_cis_1-5-1,ssphp_metrics_data,*:https://dev.azure.com/*/*/_apis/git/repositories?api-version=*,ADO,
ADO,ssphp_use_case_ado_dfe_1-0,ssphp_metrics_data,,ADO,SSPHP_DEBUG.type=~fn adv_security_repo_enablement~
DEFENDER,ssphp_use_case_defender_assessments,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.security/assessments~
DEFENDER,ssphp_use_case_defender_assessments_k8s,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.security/assessments~
QUALYS,ssphp_use_case_vulnerabilities_dfe_1-0,qualys,,qualys:hostDetection,
QUALYS,ssphp_use_case_vulnerabilities_dfe_1-0,ssphp_metrics_data,,azure_resource_graph,type=~microsoft.compute/virtualmachines~
M365,ssphp_use_case_m365_001_cis_1-1-1,ssphp_metrics_data,,m365:identitySecurityDefaultsEnforcementPolicy,
M365,ssphp_use_case_m365_001_cis_1-1-2,ssphp_metrics_data,,SSPHP.AAD.user,
