assessment_id,ciso_priority
33422d8f-ab1e-42be-bc9a-38685bb567b9,1
35f45c95-27cf-4e52-891f-8390d1de5828,3
1234abcd-1b53-4fd4-9835-2c2fa3935313,4
6240402e-f77c-46fa-9060-a7ce53997754,1
24ac5a4d-d4b1-fbda-51fb-c100b0f1b032,1
dabc9bc4-b8a8-45bd-9a5a-43000df8aa1c,1
ca28339c-4910-8977-5a67-0775e159d65d,1
c0cb17b2-0607-48a7-b0e0-903ed22de39b,1
c227ce34-2625-c5b0-689e-97843e477720,1
24a15fbd-cfe4-4dff-b2be-1c367a6b2031,1
3b20e985-f71f-483b-b078-f30d73936d43,1
741b141d-8111-4d86-a4e0-f74b06270a74,1
e0905114-2b51-4728-ab31-550f2058ec6c,1
a1aa2b1e-3d24-82a7-7c2b-14e9bbd23c4e,2
effc9a76-a5a6-40ac-b20d-59dc45bddf99,3
1fe15513-2a11-30bd-9934-2884f8bb97de,2
222290e0-3f62-9704-411e-55ec17f1df7d,1
22441184-2f7b-d4a0-e00b-4c5eaef4afc9,1
b9f2fa58-7571-4e7f-978f-5d224a011c89,2
e50066b7-731c-40c4-a325-9551154ee5ce,2
334a182c-7c2c-41bc-ae1e-55327891ab50,1
d19d5a12-41e9-44e2-b7f5-ee2160f62d62,1
774dd8dd-234d-4581-8dcc-376a53e58a5d,1
9b828565-a0ed-61c2-6bf3-1afc99a9b2ca,1
06e3a6db-6c0c-4ad9-943f-31d9d73ecf6c,1
3869fbd7-5d90-84e4-37bd-d9a7f4ce9a24,1
9f97e78d-88ee-a48d-abe2-5ef12954e7ea,1
1f6d29f6-4edb-ea39-042b-de8f123ddd39,1
972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b,1
19beaa2a-a126-b4dd-6d35-617f6cc83fca,1
422107c6-5b9a-46a6-bb1d-26ef1cc52d65,5
44aae697-8cc1-4ed1-a136-44a644bfd51f,3
93b78b68-5f3f-46b2-acf1-c3e9e6e646d1,3
009678ce-adce-4c94-9cc8-cfc2bd0c6a06,5
f2864482-b329-4310-8c06-3cf74fe880c5,5
2fd6b6c3-f52b-464d-a301-0d81c7b4839c,4
cb0acdc6-0846-fd48-debe-9905af151b6d,1
0354476c-a12a-4fcc-a79d-f0ab7ffffdbb,5
20606e75-05c4-48c0-9d97-add6daa2109a,4
fde1c0c9-0fd2-4ecc-87b5-98956cbc1095,5
620671b8-6661-273a-38ac-4574967750ec,2
2fa1be2c-a4a2-5fa5-15e2-fec18819d3dd,2
83f577bd-a1b6-b7e1-0891-12ca19d1e6df,1
805651bc-6ecd-4c73-9b55-97a19d0582d0,4
483f12ed-ae23-447e-a2de-a67a10db4353,1
f9f0eed0-f143-47bf-b856-671ea2eeed62,3
94208a8b-16e8-4e5b-abbd-4e81c9d02bee,2
af849052-4299-0692-acc0-bffcbe9e440c,2
b12bc79e-4f12-44db-acda-571820191ddc,2
d1db3318-01ff-16de-29eb-28b344515626,1
03afeb6f-7634-adb3-0a01-803b0b9cb611,3
e5f60ef8-3fcc-4fb5-bee7-7aaeb44c1509,2
ffff0522-1e88-47fc-8382-2a80ba848f5d,1
17618b1a-ed14-49bb-b37f-9f8ba967be8b,1
bc303248-3d14-44c2-96a0-55f5c326b5fe,1
e0e431eb-22b3-4f34-ae0d-5ec229fc28e7,1
276b1952-c364-852b-11e5-657f0fa34dc6,2
14acab4e-ad95-11ec-b909-0242ac120002,3
96946040-1b25-4dc4-b845-4f341b3fcaab,1
0876ef51-fee7-449d-ba1e-f2662c7e43c6,1
e1145ab1-eb4f-43d8-911b-36ddf771d13f,5
90386950-71ca-4357-a12e-486d1679427c,5
58d72d9d-0310-4792-9a3b-6dd111093cdb,1
e599a9fe-30e3-47c6-a173-8b4b6d9d3255,1
b1af52e4-e968-4e2b-b6d0-6736c9651f0a,1
a85bc138-587d-4867-8faa-b2a814cfcf72,2
b6a28450-dd5d-4ba4-8806-245e20ef6632,1
f0fb2a7e-16d5-849f-be57-86db712e9bd0,1
889df0ba-a5a2-47a0-a16d-6111b5879cce,2
9f6b22c2-61e5-4c4b-ab83-f5a88387bff4,2
e3de1cc0-f4dd-3b34-e496-8b5381ba2d70,2
56a6e81f-7413-4f72-9a1b-aaeeaa87c872,1
78211c00-15a9-336e-17c4-0b48613dadf4,3
1ce68079-b783-4404-b341-d2851d6f0fa2,1
22489c48-27d1-4e40-9420-4303ad9cffef,4
ce998c5a-e92a-4893-bbdd-4e1c940363a3,2
e9c320f1-03a0-4d2b-9a37-84b3bdc2e281,1
51740d72-1ff9-455d-ace0-c7384e903168,2
9b4f4dd4-24fc-42ba-9978-2a1cf575d36d,4
a78ee063-e419-42a9-8d8f-8ec1a94f6b3e,2
c0b7cfc6-3172-465a-b378-53c7ff2cc0d5,2
1ff0b4c9-ed56-4de6-be9c-d7ab39645926,4
050ac097-3dda-4d24-ab6d-82568e7a50cf,4
8e9a37b9-2828-4c8f-a24e-7b0ab0e89c78,2
6f90a6d6-d4d6-0794-0ec1-98fa77878c2e,4
6ac66a74-761f-4a59-928a-d373eea3f028,1
a2624c52-2937-400c-af9d-3bf2d97382bf,2
0677209d-e675-2c6f-e91a-54cef2878663,2
400a6682-992c-4726-9549-629fbc3b988f,1
7b3d4796-9400-2904-692b-4a5ede7f0a1e,2
a4899b81-b689-4e0d-aa29-45983ab8b7fc,4
7f04fc0c-4a3d-5c7e-ce19-666cb871b510,5
ae7329f0-b676-4c8b-8c69-45f4e29ba304,1
41f5d060-b585-4780-918e-c31fe9821d02,1
bf2541d8-2d82-4cf3-a4e8-ed1137c90773,1
ff6dbca8-d93c-49fc-92af-dc25da7faccd,1
df4d1739-47f0-60c7-1706-3731fea6ab03,2
80dc29d6-9887-4071-a66c-e763376c2de3,2
