assessment_id,ciso_priority
0023ff18-9de1-e977-50f5-bdebd3653189,5
00306056-d572-694b-f0ab-f3ef89bb438b,5
00a352cf-12ab-052d-3c11-77a837968888,5
00f5cfa6-f2c6-7e7b-26b8-258ff8436e8e,5
0121ea13-8dae-d98f-c839-9aad3097daa1,5
0175f750-851c-6095-1ef5-2a3848a25bd1,5
01870389-36ae-c55c-cafd-4baa94526270,5
01d9a108-3379-4c5a-8236-1a724bcccff1,5
026d838b-6bf3-a605-2cd5-dcc5c1741544,5
02c38859-c70f-39bc-3816-5e4cdbcb5c64,5
02cd4239-ac08-8b14-15f9-586a2ca0080d,5
02d712a6-4601-83b2-e04f-e44af5ba1ce6,5
02e555c8-7deb-4fab-a565-d018af8ba39e,5
02fb778d-fd6c-4770-81ca-abec3cf36634,3
03262277-6089-1e9f-5431-295266d5d1a9,5
032b5976-1c4b-4c68-bc5d-0c65e35306b2,5
0354476c-a12a-4fcc-a79d-f0ab7ffffdbb,5
03afeb6f-7634-adb3-0a01-803b0b9cb611,3
03cafeee-dc2a-a329-ef20-b7e5ca6aa729,3
03f016c2-ac05-67d9-0735-3703a4fb3c64,5
04208eb8-fefe-90f3-1340-946987ef8c64,5
04212107-de72-4eb7-a427-1876b5604a98,5
050ac097-3dda-4d24-ab6d-82568e7a50cf,4
05137d7e-6aff-008f-fa54-11697d3ed60d,5
051545a4-179e-4c04-9e9b-8f33821ef36f,5
0571b70a-ea04-b21d-bcbf-ea129b5cf0ea,5
0571e435-5c84-48bb-b1c9-6e7eae13715a,5
0582c817-eee9-cd24-2d60-df5d8466f538,5
059e7e42-3dc2-72f0-1eb8-2f5c254bf9d8,5
05a38e83-a13d-6479-3a08-8899f8b94f23,5
05af303e-fb96-756d-3eb7-dc1532ffb6f8,5
05caba2a-f31a-3338-9348-a9114a8016c6,5
063724f8-dd75-66d3-cbd8-3868cc749b05,5
06c04d54-b2d8-6ec2-bc46-2176108d3413,5
06e3a6db-6c0c-4ad9-943f-31d9d73ecf6c,1
071cf127-7766-4551-9a72-788c23f17442,5
0753438a-75c7-a4e8-0fb4-9213f771623f,5
0754488a-75c7-a4e8-0fb4-9212f771623f,5
07fda539-d795-2d9a-1783-6e11a2027fcb,5
0869d850-9f04-8bb1-9268-270adda1c14b,5
086cb95b-5427-3ac0-9b98-c5c5b593579a,5
0876ef51-fee7-449d-ba1e-f2662c7e43c6,1
08a4b141-c737-404e-8617-9830268e8bfa,5
08d649c8-5458-46dd-a13c-e1c5c7b1687c,1
091f0150-80d1-0e2d-7353-8cdb77fc6aa1,5
093c685b-56dd-13a3-8ed5-887a001837a2,2
094c4b59-f474-2130-6a6d-0671fbcd8c4f,5
0979b47f-fbbf-46ad-8def-768256fa012a,5
09ed81b2-8dba-4009-84f9-dcfd6009ed0d,5
0a4262c6-ea6b-fbd0-fa85-39974fff91ba,5
0a7f2b28-8586-6cef-512e-a28f991d83cd,5
0ababbef-4651-659c-97b9-111535460fc5,5
0ae12ed9-440a-dd06-6685-2c7220a95beb,5
0b712179-f61f-4e80-9286-f7eed8f08a47,3
0bccaf9f-bdea-9e91-a664-09bf842940d6,5
0c02a769-03f1-c4d7-85a5-db5dca505c49,1
0c323fb2-2483-6210-3fec-0c4872413ccf,5
0c77cac0-1e99-8a8f-32e1-841d18b01a9a,5
0cb5f317-a94b-6b80-7212-13a9cc8826af,2
0cc35843-7687-60cf-5280-bb98cf9a87c2,5
0cd3842a-2ad2-c576-dcd4-28e8f863419f,5
0d3126aa-3c6a-41ff-1c94-8e7d957c5c49,5
0d78366e-4c4e-1b3f-2d86-8226791bd2d7,5
0d95a489-6dff-84fb-34cf-ac922131b7ec,5
0dae9a50-89ca-697c-3257-8dd6650f7a5c,5
0eb43387-0e67-e2b5-4e77-d4fde3118af8,5
0ec915c3-ca04-fff5-ab92-e13f360f1653,5
0f76595c-c564-e8e7-0a7a-63e12d1f5ea9,5
0f7f9d8d-029d-3ee4-54c7-17e935c2ffa2,5
0fa22a45-e92b-0d20-5a66-f6488e0e5122,5
0fbed0bc-c27a-b94f-8779-3d77ae9044d9,5
0fe59dec-472c-4b11-a221-36053a47afb6,5
103de8e8-643e-4b0e-b4a4-a85830239a53,5
1055e53e-e8ce-a0c9-91fc-f5315e62bb45,5
1057d431-114c-4ccc-6da7-533ff3ff0c14,5
10a0a22c-46da-a79a-c536-10803e3f56e3,5
10a43735-527c-46f0-a95c-954a8f9594dc,5
1195afff-c881-495e-9bc5-1486211ae03f,2
1196a355-37e4-4a6f-8a8e-740db0d73f09,5
11ca2201-2673-4f04-bad3-3265e1a53a5b,5
12018f4f-3d10-999b-e4c4-86ec25be08a1,3
12d28f4d-3773-f9ce-4714-83b12bfbec49,5
12dced31-781d-11e6-8e17-d46397efa61a,5
13432e97-be3a-2393-3119-3c5bd1f5b09d,5
13873c2a-201c-4732-c3fd-924c2dedc0ce,5
13b10b36-aa99-4db6-b00c-dcf87c4761e6,3
13dabe7c-02ea-09d2-1a97-42cc7ac94eaa,5
13e7d036-6903-821c-6018-962938929bf0,4
1420bdf5-7db7-c22f-abc9-bba29f36194b,5
14257785-9437-97fa-11ae-898cfb24302b,2
14450bb1-3a00-7588-6190-4c604b5e58c0,5
149e59c1-6ac6-d305-0c01-58aea10142e3,5
14acab4e-ad95-11ec-b909-0242ac120002,3
14afe28a-6199-49ff-9789-dabb89ed714e,5
14c168de-4508-a69d-0feb-2f1efe245a71,5
1501fd7c-9f2c-0807-3ea2-dceccbef80c4,5
152a8c58-bee8-fb51-646a-a0470f1e2ccc,5
155cedd3-dd96-5275-39f9-fca6af36a212,5
1597605a-0faf-5860-eb74-462ae2e9fc21,3
15b81c0f-1daf-f0c8-7ba7-eb96e1cb0b81,5
15be5f3c-e0a4-c0fa-fbff-8e50339b4b22,2
161eba55-be54-f0f6-fb76-504d74be216c,5
1648f727-644b-4454-a472-b1a803342e8a,5
164bcf05-b0fe-456f-8a25-04d7d920f88a,5
16511f6b-f690-43df-9654-642260699eec,5
1673aef7-254f-bfc3-8544-ab30192f9b9e,5
16f32de1-95b1-533c-ebf1-7a4a2e810340,5
1711fe2a-e782-de51-db27-36ecee60e009,5
17618b1a-ed14-49bb-b37f-9f8ba967be8b,1
177e6190-1026-49fb-a1f9-fd5b10302280,5
1811f94e-dd96-2f8c-3b0d-6625f2073046,5
181da750-0ecf-4af3-8724-ab1d6718fd6b,5
1865fb27-49bd-0729-b920-737fd0a1aedb,5
1895704d-a326-90ca-3795-3a1289e7482d,5
18dbeec4-c455-988c-d553-256b6fac63a1,5
19242cee-729b-07ed-e10e-c2ee35536679,5
1926dc04-79ea-4a6e-9e35-892c27876bf5,5
194c4850-aff1-f3da-841a-0d821ed393d2,5
19587483-37e5-618e-c81a-e7d0c9d9b56c,5
1998ac74-d28a-c35f-122f-63c55322a701,5
19b982e1-7ee2-b0f0-9073-0c883888c311,5
19beaa2a-a126-b4dd-6d35-617f6cc83fca,1
1a292e7a-3e80-6dcd-a392-d2e2f6104671,5
1a8c5d1a-7a67-bb39-3ea9-7b3299b0502c,5
1aabfa0d-7585-f9f5-1d92-ecb40291d9f2,2
1b2b5d36-a43d-1520-0f2b-39560768372a,5
1b351b29-41ca-6df5-946c-c190a56be5fe,1
1b663c6e-6432-4517-9a2b-49f5008e652f,3
1c559873-ce83-8229-3d53-6fc3563ef6f1,5
1c5de8e1-f68d-6a17-e0d2-ec259c42768c,1
1cd85901-4924-354e-ada8-db10f1df6662,5
1ce9d867-2a1f-4e0d-8ee9-bc3606f9302c,5
1d3ef0a0-c6c7-1c77-a0ac-e8f7a87a2de7,5
1d40e761-faa7-ff87-1e2b-17813f0ad5ad,5
1db4f204-cb5a-4c9c-9254-7556403ce51c,1
1db7d147-3a75-4637-8cdc-c119e22d0206,5
1e3ae441-8bd6-4736-94aa-ac56a430131c,5
1e431003-50ce-3d05-9729-d4ebefa63041,5
1e941132-a3a7-5ccb-1817-50551b65202e,5
1eb84c57-2252-466d-8504-c7d34fce2126,5
1eda09f2-1a42-79ee-1104-6e536f68bb66,5
1f05b3f3-1d7c-bc21-cf39-838255e305dd,5
1f2f1d23-f708-77d0-c673-9a41772724f9,5
1f4b3298-324d-214d-5c11-366a825d6786,5
1f655fb7-63ca-4980-91a3-56dbc2b715c6,2
1fe15513-2a11-30bd-9934-2884f8bb97de,2
1fef4232-acbd-8869-19e9-0e52b7874cf8,5
1ff0b4c9-ed56-4de6-be9c-d7ab39645926,4
1ff83dc8-e1ae-ddae-abeb-4a127d89acfd,5
20606e75-05c4-48c0-9d97-add6daa2109a,4
20670f2c-01b1-4f5b-9dff-023c697babdb,5
20cf6ca4-149c-c159-af0f-c7aa2c8f31cf,5
21040bd0-6359-6996-f80a-c3f481e1574b,5
21073dc7-d2f5-ac50-a513-0f0670f28476,5
21150f87-00c8-ba94-4bde-e476face338a,5
216693aa-eecb-ce05-b1aa-15234b372806,5
2196a0b5-a34a-8628-d4a7-c773f9bb89a1,5
21a9a771-ef63-419c-bee4-8619f19a77ff,5
21c5bcb7-432e-4eaa-a01a-0cda8db73e62,5
2215e526-cfc5-61d9-c134-4083fcad80d5,5
222290e0-3f62-9704-411e-55ec17f1df7d,1
222c74a9-0e07-a51e-1591-f8c67f343fbb,5
22441184-2f7b-d4a0-e00b-4c5eaef4afc9,1
22489c48-27d1-4e40-9420-4303ad9cffef,4
22a4333f-2459-ebad-ff4b-cb96306a1af3,5
22e93e92-4a31-b4cd-d640-3ef908430aa6,1
2390e5fa-8de7-7fe2-c9b0-2ff408a27c41,5
23aa9cbe-c2fb-6a2f-6c97-885a6d48c4d1,2
23d0f843-e7bf-40e9-82cb-6299b35e52ab,5
23d573d1-0d29-435c-bbc9-509b3c9cfa60,5
23fe5f52-3b59-d954-0681-7596a66101f7,5
24a15fbd-cfe4-4dff-b2be-1c367a6b2031,1
25327c73-a428-f9cc-d65c-90ef7374e971,5
256927c6-fa8c-79a2-6b8c-6e45e828bf3a,2
25a9f4fb-2430-0548-313a-7995eb7adfe4,5
25ebfc49-188e-6198-230a-8939d100fe25,5
