"full_name","ssphp_organisation","ssphp_repo"
"DFE-Digital/-conversions-design-history","DFE-Digital","-conversions-design-history"
"DFE-Digital/.github","DFE-Digital",".github"
"DFE-Digital/API-SIP-SharePointOnline","DFE-Digital","API-SIP-SharePointOnline"
"DFE-Digital/C4-PlantUML","DFE-Digital","C4-PlantUML"
"DFE-Digital/DfE_data_tables_excel_parser","DFE-Digital","DfE_data_tables_excel_parser"
"DFE-Digital/Dfe.Academies.External","DFE-Digital","Dfe.Academies.External"
"DFE-Digital/Enterprise-Security-Architecture","DFE-Digital","Enterprise-Security-Architecture"
"DFE-Digital/GHWCT_2","DFE-Digital","GHWCT_2"
"DFE-Digital/GITISContent","DFE-Digital",GITISContent
"DFE-Digital/GitHubDash","DFE-Digital",GitHubDash
"DFE-Digital/GovUkWizard","DFE-Digital",GovUkWizard
"DFE-Digital/MTC","DFE-Digital",MTC
"DFE-Digital/MYESF_Cookies_Privacy","DFE-Digital","MYESF_Cookies_Privacy"
"DFE-Digital/NPQ-Alpha-Prototype","DFE-Digital","NPQ-Alpha-Prototype"
"DFE-Digital/NSA-Alpha-AzureFunction-Sample","DFE-Digital","NSA-Alpha-AzureFunction-Sample"
"DFE-Digital/NSA-Alpha-DotNetCore-Sample","DFE-Digital","NSA-Alpha-DotNetCore-Sample"
"DFE-Digital/Objective-template","DFE-Digital","Objective-template"
"DFE-Digital/SATOSA","DFE-Digital",SATOSA
"DFE-Digital/SDD-Academy-Transfers","DFE-Digital","SDD-Academy-Transfers"
"DFE-Digital/SDD-IxD-Clan","DFE-Digital","SDD-IxD-Clan"
"DFE-Digital/TRAMS-alpha","DFE-Digital","TRAMS-alpha"
"DFE-Digital/Teaching-School-Hub-Finder","DFE-Digital","Teaching-School-Hub-Finder"
"DFE-Digital/a2b-external","DFE-Digital","a2b-external"
"DFE-Digital/a2b-prototype","DFE-Digital","a2b-prototype"
"DFE-Digital/academies-academisation-api","DFE-Digital","academies-academisation-api"
"DFE-Digital/academies-api","DFE-Digital","academies-api"
"DFE-Digital/academisation-nuget-packages","DFE-Digital","academisation-nuget-packages"
"DFE-Digital/academy-transfers-frontend","DFE-Digital","academy-transfers-frontend"
"DFE-Digital/academy-transfers-technical-documentation","DFE-Digital","academy-transfers-technical-documentation"
"DFE-Digital/access-your-teaching-profile","DFE-Digital","access-your-teaching-profile"
"DFE-Digital/access-your-teaching-qualifications","DFE-Digital","access-your-teaching-qualifications"
"DFE-Digital/accessibility","DFE-Digital",accessibility
"DFE-Digital/accessibility-scanner","DFE-Digital","accessibility-scanner"
"DFE-Digital/addict","DFE-Digital",addict
"DFE-Digital/amsd-casework","DFE-Digital","amsd-casework"
"DFE-Digital/analytics-preparation","DFE-Digital","analytics-preparation"
"DFE-Digital/api-example-csharp-client","DFE-Digital","api-example-csharp-client"
"DFE-Digital/api-example-java-client","DFE-Digital","api-example-java-client"
"DFE-Digital/api-example-nodejs-client","DFE-Digital","api-example-nodejs-client"
"DFE-Digital/apply-for-qts-prototype","DFE-Digital","apply-for-qts-prototype"
"DFE-Digital/apply-for-qualified-teacher-status","DFE-Digital","apply-for-qualified-teacher-status"
"DFE-Digital/apply-for-qualified-teacher-status-dataform","DFE-Digital","apply-for-qualified-teacher-status-dataform"
"DFE-Digital/apply-for-teacher-training","DFE-Digital","apply-for-teacher-training"
"DFE-Digital/apply-for-teacher-training-prototype","DFE-Digital","apply-for-teacher-training-prototype"
"DFE-Digital/apply-for-teacher-training-statistics","DFE-Digital","apply-for-teacher-training-statistics"
"DFE-Digital/apply-ops-dashboard","DFE-Digital","apply-ops-dashboard"
"DFE-Digital/apply-service-standard-in-dfe","DFE-Digital","apply-service-standard-in-dfe"
"DFE-Digital/apply-the-service-standard-in-dfe","DFE-Digital","apply-the-service-standard-in-dfe"
"DFE-Digital/architecture","DFE-Digital",architecture
"DFE-Digital/assure-prototype-2","DFE-Digital","assure-prototype-2"
"DFE-Digital/at-design-history","DFE-Digital","at-design-history"
"DFE-Digital/audited","DFE-Digital",audited
"DFE-Digital/authservices","DFE-Digital",authservices
"DFE-Digital/azure-hello-rails","DFE-Digital","azure-hello-rails"
"DFE-Digital/bat-data-maps","DFE-Digital","bat-data-maps"
"DFE-Digital/bat-design-history","DFE-Digital","bat-design-history"
"DFE-Digital/bat-infrastructure","DFE-Digital","bat-infrastructure"
"DFE-Digital/bat-ops-dashboard","DFE-Digital","bat-ops-dashboard"
"DFE-Digital/bat-platform-building-blocks","DFE-Digital","bat-platform-building-blocks"
"DFE-Digital/buy-digital-technology-for-childrens-social-care","DFE-Digital","buy-digital-technology-for-childrens-social-care"
"DFE-Digital/buy-for-your-school","DFE-Digital","buy-for-your-school"
"DFE-Digital/buying-for-schools","DFE-Digital","buying-for-schools"
"DFE-Digital/buying-for-schools-admin","DFE-Digital","buying-for-schools-admin"
"DFE-Digital/buying-for-schools-prototype","DFE-Digital","buying-for-schools-prototype"
"DFE-Digital/buying-for-schools-v2","DFE-Digital","buying-for-schools-v2"
"DFE-Digital/cdc-common","DFE-Digital","cdc-common"
"DFE-Digital/cdc-data","DFE-Digital","cdc-data"
"DFE-Digital/cdc-events","DFE-Digital","cdc-events"
"DFE-Digital/cdc-file-adapter","DFE-Digital","cdc-file-adapter"
"DFE-Digital/cf-monitoring","DFE-Digital","cf-monitoring"
"DFE-Digital/check-childrens-barred-list","DFE-Digital","check-childrens-barred-list"
"DFE-Digital/check-childrens-barred-list-prototype","DFE-Digital","check-childrens-barred-list-prototype"
"DFE-Digital/childrens-social-care-architecture","DFE-Digital","childrens-social-care-architecture"
"DFE-Digital/childrens-social-care-cpd","DFE-Digital","childrens-social-care-cpd"
"DFE-Digital/childrens-social-care-placement","DFE-Digital","childrens-social-care-placement"
"DFE-Digital/claim-additional-payments-for-teaching","DFE-Digital","claim-additional-payments-for-teaching"
"DFE-Digital/claim-additional-payments-for-teaching-infrastructure","DFE-Digital","claim-additional-payments-for-teaching-infrastructure"
"DFE-Digital/claim-design-system","DFE-Digital","claim-design-system"
"DFE-Digital/claim-interface-restructure","DFE-Digital","claim-interface-restructure"
"DFE-Digital/clamav-rest","DFE-Digital","clamav-rest"
"DFE-Digital/complete-conversions-transfers-and-changes-prototype","DFE-Digital","complete-conversions-transfers-and-changes-prototype"
"DFE-Digital/content-design-ddat-framework-prototype","DFE-Digital","content-design-ddat-framework-prototype"
"DFE-Digital/content-design-framework","DFE-Digital","content-design-framework"
"DFE-Digital/content-designer-training","DFE-Digital","content-designer-training"
"DFE-Digital/conversions-design-history","DFE-Digital","conversions-design-history"
"DFE-Digital/covid-content-external-link-checker","DFE-Digital","covid-content-external-link-checker"
"DFE-Digital/cpd-adr","DFE-Digital","cpd-adr"
"DFE-Digital/cpd-ecf-ucd-prototype","DFE-Digital","cpd-ecf-ucd-prototype"
"DFE-Digital/cpd-ecf-ucd-prototype-2","DFE-Digital","cpd-ecf-ucd-prototype-2"
"DFE-Digital/cpd-lpdob-prototype","DFE-Digital","cpd-lpdob-prototype"
"DFE-Digital/cpd-service-manual","DFE-Digital","cpd-service-manual"
"DFE-Digital/csc-placement-prototype","DFE-Digital","csc-placement-prototype"
"DFE-Digital/csc-swr-architecture","DFE-Digital","csc-swr-architecture"
"DFE-Digital/csc-swr-prototype","DFE-Digital","csc-swr-prototype"
"DFE-Digital/csc-swr-ur-prototype","DFE-Digital","csc-swr-ur-prototype"
"DFE-Digital/csc-tech-docs-publisher","DFE-Digital","csc-tech-docs-publisher"
"DFE-Digital/curriculum-materials-prototype","DFE-Digital","curriculum-materials-prototype"
"DFE-Digital/custom-err-msg","DFE-Digital","custom-err-msg"
"DFE-Digital/das-fjaa-prototype","DFE-Digital","das-fjaa-prototype"
"DFE-Digital/das-ufab-prototype","DFE-Digital","das-ufab-prototype"
"DFE-Digital/data-allowances-prototype","DFE-Digital","data-allowances-prototype"
"DFE-Digital/data-exchange-helpdesk-prototype","DFE-Digital","data-exchange-helpdesk-prototype"
"DFE-Digital/data-infrastructure-and-reporting","DFE-Digital","data-infrastructure-and-reporting"
"DFE-Digital/database-of-qualified-teachers","DFE-Digital","database-of-qualified-teachers"
"DFE-Digital/delivery-management","DFE-Digital","delivery-management"
"DFE-Digital/deprecated-login.dfe.saml-proxy","DFE-Digital","deprecated-login.dfe.saml-proxy"
"DFE-Digital/design","DFE-Digital",design
"DFE-Digital/design-histories-asset-repo","DFE-Digital","design-histories-asset-repo"
"DFE-Digital/design-histories-cms-strapi","DFE-Digital","design-histories-cms-strapi"
"DFE-Digital/design-histories-frontend","DFE-Digital","design-histories-frontend"
"DFE-Digital/design-history","DFE-Digital","design-history"
"DFE-Digital/design-history-cms","DFE-Digital","design-history-cms"
"DFE-Digital/design-manual-design-history","DFE-Digital","design-manual-design-history"
"DFE-Digital/dfe-academic-year-research","DFE-Digital","dfe-academic-year-research"
"DFE-Digital/dfe-analytics","DFE-Digital","dfe-analytics"
"DFE-Digital/dfe-analytics-dataform","DFE-Digital","dfe-analytics-dataform"
"DFE-Digital/dfe-analytics-dotnet","DFE-Digital","dfe-analytics-dotnet"
"DFE-Digital/dfe-apad","DFE-Digital","dfe-apad"
