"Security Principle ",asb,"asb_id","asset_type","cis_control","cis_control_name","cis_control_name_long","cis_safeguard_id","cis_v8_ids","control_domain",description,ig1,ig2,ig3,"policy_guid",recommendation,relationship,"security_function","security_principal",title
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-1","Network
Devices","3
13
4","Data Protection
Network Monitoring and Defense
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
13 - Network Monitoring and Defense
04 - Secure Configuration of Enterprise Assets and Software","3.12
13.4
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Perform traffic filtering between network segments, where appropriate.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"08e6af2d-db70-460a-bfe9-d5bd474ba9d6","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Perform Traffic Filtering Between Network Segments
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-1","Network
Devices","3
13
4","Data Protection
Network Monitoring and Defense
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
13 - Network Monitoring and Defense
04 - Secure Configuration of Enterprise Assets and Software","3.12
13.4
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Perform traffic filtering between network segments, where appropriate.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"9daedab3-fb2d-461e-b861-71790eead4f6","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Perform Traffic Filtering Between Network Segments
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-1","Network
Devices","3
13
4","Data Protection
Network Monitoring and Defense
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
13 - Network Monitoring and Defense
04 - Secure Configuration of Enterprise Assets and Software","3.12
13.4
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Perform traffic filtering between network segments, where appropriate.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"bb91dfba-c30d-4263-9add-9c2384e659a6","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Perform Traffic Filtering Between Network Segments
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-1","Network
Devices","3
13
4","Data Protection
Network Monitoring and Defense
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
13 - Network Monitoring and Defense
04 - Secure Configuration of Enterprise Assets and Software","3.12
13.4
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Perform traffic filtering between network segments, where appropriate.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"e71308d3-144b-4262-b144-efdc3cc90517","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Perform Traffic Filtering Between Network Segments
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-1","Network
Devices","3
13
4","Data Protection
Network Monitoring and Defense
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
13 - Network Monitoring and Defense
04 - Secure Configuration of Enterprise Assets and Software","3.12
13.4
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
13.4 - Perform Traffic Filtering Between Network Segments
4.4 - Implement and Manage a Firewall on Severs","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Perform traffic filtering between network segments, where appropriate.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"f6de0be7-9a8a-4b8a-b349-43cf02d22f7c","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Perform Traffic Filtering Between Network Segments
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-2","Network
Devices","3
4","Data Protection
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
04 - Secure Configuration of Enterprise Assets and Software","3.12
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"037eea7a-bd0a-46c5-9a66-03aea78705d3","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-2","Network
Devices","3
4","Data Protection
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
04 - Secure Configuration of Enterprise Assets and Software","3.12
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"0564d078-92f5-4f97-8398-b9f58a51f70b","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-2","Network
Devices","3
4","Data Protection
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
04 - Secure Configuration of Enterprise Assets and Software","3.12
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"0725b4dd-7e76-479c-a735-68e7ee23d5ca","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-2","Network
Devices","3
4","Data Protection
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
04 - Secure Configuration of Enterprise Assets and Software","3.12
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"0a1302fb-a631-4106-9753-f3d494733990","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Implement and Manage a Firewall on Servers"
,"NS-1
NS-2
GS-2
GS-3
NS-3
NS-7
NS-8
GS-9","NS-2","Network
Devices","3
4","Data Protection
Secure Configuration of Enterprise Assets and Software","03 - Data Protection
04 - Secure Configuration of Enterprise Assets and Software","3.12
4.4","3.12 - Segment Data Processing and Storage Based on Sensitivity
4.4 - Implement and Manage a Firewall on Servers
","Network Security","Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.","0
1",1,1,"0e246bcf-5f6f-4f87-bc6f-775d4712c7ea","Establish network segmentation boundaries
Secure cloud services with network controls
Define and implement enterprise segmentation/separation of duties strategy
Define and implement data protection strategy
Deploy firewall at the edge of enterprise network
Simplify network security configuration
Detect and disable insecure services and  protocols
Define and implement  endpoint security strategy","Equivalent
Superset
Subset",Protect,"Ensure your virtual network deployment aligns to your enterprise segmentation strategy defined in the GS-2. Any workload that could incur higher risk for the organization should be in isolated virtual networks. 
Example of high-risk workload can be one of the following natures:
- An application storing or processing highly sensitive data.
- An external network facing application accessible by public or users outside of your organization.
- An application using insecure architecture or containing vulnerabilities that cannot be easily remediated.

To enhance your enterprise segmentation strategy, restrict or monitor traffic between internal resources using network controls. For specific well-defined applications (such as a 3-tier app), this can be a highly secure ""deny by default, permit by exception"" approach by restricting the ports, protocols, source, and destination IPs of the network traffic. If you have many applications and endpoints interacting with each other, blocking traffic may not scale well and you may only be able to monitor traffic. 
Secure cloud services by establish a private access point for the resources. You should also disable or restrict access from public network when possible.
N/A

Deploy firewall to perform advanced filtering on network traffic to and from external networks. You can also use firewalls between internal segments to support a segmentation strategy. If required, use custom routes for your subnet to override the system route when you need to force the network traffic to go through a network appliance for security control purpose.

At minimum, block known bad IP addresses and high-risk protocols like remote management (like RDP and SSH) and intranet protocols like SMB and Kerberos.  
When managing a complex network environment, use tools to simplify, centralize and enhance the network security management.
Detect and disable insecure services and protocols at the OS, application, or software package layer. Deploy compensating controls if disabling insecure services and protocols are not possible.","Segment Data Processing and Storage Based on Sensitivity
Implement and Manage a Firewall on Servers"
