ssphp.use_case.id,ssphp.use_case.foundational_system,ssphp.use_case.savedsearch,ssphp.use_case.short_description,ssphp.cis_benchmark.control.title,ssphp.use_case.title,ssphp.cis_benchmark.control.profile_applicability,ssphp.cis_benchmark.control.level,ssphp.cis_benchmark.control.number,ssphp.cis_benchmark.control.group,ssphp.cis_benchmark.control.description,ssphp.cis_benchmark.control.rationale,ssphp.cis_benchmark.control.impact,ssphp.cis_benchmark.controls.ig1,ssphp.cis_benchmark.controls.ig2,ssphp.cis_benchmark.controls.ig3,ssphp.use_case.framework.ig_1,ssphp.use_case.framework.ig_2,ssphp.use_case.framework.ig_3,ssphp.cis_benchmark.controls.v8,ssphp.cis_benchmark.document.date,ssphp.cis_benchmark.document.name,ssphp.cis_benchmark.document.version,ssphp.cis_benchmark.version,ssphp.metadata.last_updated_by,ssphp.metadata.last_updated_date,ssphp.risk.expectancy,ssphp.risk.impact,ssphp.score.scoring_narrative,ssphp.score.threshold.green,ssphp.score.threshold.orange,ssphp.score.threshold.red,ssphp.score.ciso_priority,ssphp.use_case.control,ssphp.use_case.description
aad_001,AAD,ssphp_use_case_aad_001,Admin No MFA Devices,,AAD 001,,,,,,,,,,,"8.2, 13.1",-,1.6,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the percentage of privieged accounts that have the MFA Service Plan enabled. Best=100, Worst=0",99,-,-,-,All Azure AD privileged users should have an MFA device associated with their Azure Active Directory account.,This use case is the number of privileged Azure Active Directory accounts that have MFA enabled
aad_002,AAD,ssphp_use_case_aad_002,Admins no MFA Conditional Policies,,AAD 002,,,,,,,,,,,"8.2, 13.1",-,1.6,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is percentage of Azure AD Admin users with MFA Conditional Policies. Best=100, Worst=0",99,-,-,-,All privileged Azure AD users should have an MFA required policy enabled on their account.,This use case is the number of privileged AD accounts that do not have a specific conditional access policy
aad_003,AAD,ssphp_use_case_aad_003,Admins no VPN Conditional Policies,,AAD 003,,,,,,,,,,,"8.2, 13.1",-,1.6,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is percentage of Azure AD Admin users with VPN Conditional Policies. Best=100, Worst=0",99,-,-,-,All users should have a Conditional Access Policy associated with their Azure AD account which restricts access to only be through the DfE VPN.,This use case is the number of privileged AD accounts that do not have a specific VPN conditional access policy
aad_004,AAD,ssphp_use_case_aad_004,Admins no Compliant Device Conditional Policies,,AAD 004,,,,,,,,,,,"8.2, 13.1",-,1.6,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is percentage of Azure AD Admin users with Compliant Device Conditional Policies. Best=100, Worst=0",99,-,-,-,All users should have a Conditional Access Policy associated with their Azure AD account which restricts access to only be using a restricted device.,This use case is the number of privileged AD accounts that do not have a specific conditional access policy which restricts the devices they can log into AAD from to specific 'compliant devices'.
aad_005,AAD,ssphp_use_case_aad_005,Admins with Anonymous Accounts,,AAD 005,,,,,,,,,,,"8.2, 13.1",-,1.6,,-,-,-,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is percentage of Azure AD Admin users with Anonymous Accounts. Best=100, Worst=0",99,-,-,-,"All privileged Azure AD user accounts should be assigned to an individual, not anonymously.",This use case is the number of privileged AD accounts that do not have a specific named individual associated
azure_001_cis_1-1-4,Azure,ssphp_use_case_azure_001_cis_1-1-4,Remember multi-factor authentication,Ensure that 'Allow users to remember multi-factor authentication on devices they trust' is Disabled,Azure 001 [CIS 1.1.4],,L1,1.1.4,,Do not allow users to remember multi-factor authentication on devices.,"Remembering Multi-Factor Authentication (MFA) for devices and browsers allows users to have the option to bypass MFA for a set number of days after performing a successful sign-in using MFA. This can enhance usability by minimizing the number of times a user may need to perform two-step verification on the same device. However, if an account or device is compromised, remembering MFA for trusted devices may affect security. Hence, it is recommended that users not be allowed to bypass MFA.","For every login attempt, the user will be required to perform multi-factor authentication.",TRUE,TRUE,TRUE,6.4,"6.3, 6.4","6.3, 6.4","6.3 Require MFA for Externally-Exposed Applications
6.4 Require MFA for Remote Network Access",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
azure_001_cis_1-2-3,Azure,ssphp_use_case_azure_001_cis_1-2-3,MFA Policy for Admin Groups,Ensure that A Multi-factor Authentication Policy Exists for Administrative Groups,Azure 001 [CIS 1.2.3],,L1,1.2.3,,"For designated users, they will be prompted to use their multi-factor authentication (MFA) process on login",Enabling multi-factor authentication is a recommended setting to limit the use of Administrative accounts to authenticated personnel.,"There is an increased cost, as Conditional Access policies require Azure AD Premium. Similarly, MFA may require additional overhead to maintain. There is also a potential scenario in which the multi-factor authentication method can be lost, and administrative users are no longer able to log in. For this scenario, there should be an emergency access account. Please see References for creating this.",TRUE,TRUE,TRUE,"6.4, 6.5","6.3, 6.4, 6.5, 6.7","6.3, 6.4, 6.5, 6.7","6.3 Require MFA for Externally-Exposed Applications
6.4 Require MFA for Remote Network Access
6.5 Require MFA for Administrative Access
6.7 Centralize Access Control",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the percentage of privieged accounts that have the MFA Service Plan enabled. Best=100, Worst=0",99,-,-,-,,
azure_001_cis_1-2-4,Azure,ssphp_use_case_azure_001_cis_1-2-4,MFA Policy for Users,Ensure that A Multi-factor Authentication Policy Exists for All Users,Azure 001 [CIS 1.2.4],,L1,1.2.4,,"For designated users, they will be prompted to use their multi-factor authentication (MFA) process on logins",Enabling multi-factor authentication is a recommended setting to limit the potential of accounts being compromised and limiting access to authenticated personnel.,"There is an increased cost, as Conditional Access policies require Azure AD Premium. Similarly, this may require additional overhead to maintain if users lose access to their MFA.",TRUE,TRUE,TRUE,6.4,"6.3, 6.4, 6.7","6.3, 6.4, 6.7","6.3 Require MFA for Externally-Exposed Applications
6.4 Require MFA for Remote Network Access
6.7 Centralize Access Control",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is the percentage of privieged accounts that have the MFA Service Plan enabled. Best=100, Worst=0",99,-,-,-,,
azure_001_cis_1-3,Azure,ssphp_use_case_azure_001_cis_1-3,Users Creating Tenants,Ensure that 'Users can create Azure AD Tenants' is set to 'No',Azure 001 [CIS 1.3],,L1,1.3,,Require administrators or appropriately delegated users to create new tenants.,It is recommended to only allow an administrator to create new tenants. This prevent users from creating new Azure AD or Azure AD B2C tenants and ensures that only authorized users are able to do so.,Enforcing this setting will ensure that only authorized users are able to create new tenants.,FALSE,FALSE,FALSE,-,-,-,,14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
azure_002_cis_2-1-14,Azure,ssphp_use_case_azure_002_cis_2-1-14,ASC Default Policy Settings are Not Set to 'Disabled',Ensure That 'All users with the following roles' is set to 'Owner',Azure 002 [CIS 2.1.14],,L1,2.1.14,,None of the settings offered by ASC Default policy should be set to effect Disabled.,A security policy defines the desired configuration of your workloads and helps ensure compliance with company or regulatory security requirements. ASC Default policy is associated with every subscription by default. ASC default policy assignment is a set of security recommendations based on best practices. Enabling recommendations in ASC default policy ensures that Azure security center provides the ability to monitor all of the supported recommendations and optionally allow automated action for a few of the supported recommendations.,-,TRUE,TRUE,TRUE,"4.1, 4.2","4.1, 4.2","4.1, 4.2, 13.11","4.1 Establish and Maintain a Secure Configuration Process
4.2 Establish and Maintain a Secure Configuration Process for Network Infrastructure
13.11 Tune Security Event Alerting Thresholds",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
azure_002_cis_2-1-15,Azure,azure_002_cis_2-1-15,Auto provisioning of 'Log Analytics agent for Azure VMs',Ensure that Auto provisioning of 'Log Analytics agent for Azure VMs' is Set to 'On',Azure 002 [CIS 2.1.15],Level 1,L1,2.1.15,,Enable automatic provisioning of the monitoring agent to collect security data.,"When Log Analytics agent for Azure VMs is turned on, Microsoft Defender for Cloud provisions the Microsoft Monitoring Agent on all existing supported Azure virtual machines and any new ones that are created. The Microsoft Monitoring Agent scans for various security-related configurations and events such as system updates, OS vulnerabilities, endpoint protection, and provides alerts.",-,FALSE,TRUE,TRUE,-,"7.5, 7.6","7.5, 7.6","7.5 Perform Automated Vulnerability Scans of Internal Enterprise Assets
7.6 Perform Automated Vulnerability Scans of Externally Exposed Enterprise Assets",14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,06/10/2023 12:35,5,5,"Score is the percentage of accounts that have Auto provisioning On. Best=100, Worst=0.",99,-,-,-,,
azure_002_cis_2-1-18,Azure,ssphp_use_case_azure_002_cis_2-1-18,Security Alert Emails to Subscription Owners,Ensure That 'All users with the following roles' is set to 'Owner',Azure 002 [CIS 2.1.18],,L1,2.1.18,,Enable security alert emails to subscription owners.,Enabling security alert emails to subscription owners ensures that they receive security alert emails from Microsoft. This ensures that they are aware of any potential security issues and can mitigate the risk in a timely fashion.,-,TRUE,TRUE,TRUE,17.2,17.2,17.2,17.2 Establish and Maintain Contact Information for Reporting Security Incidents,14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
azure_002_cis_2-1-19,Azure,ssphp_use_case_azure_002_cis_2-1-19,'Additional email addresses' is Configured with a Security Contact Email,Ensure 'Additional email addresses' is Configured with a Security Contact Email,Azure 002 [CIS 2.1.19],,L1,2.1.18,,Microsoft Defender for Cloud emails the subscription owners whenever a high-severity alert is triggered for their subscription. You should provide a security contact email address as an additional email address.,Microsoft Defender for Cloud emails the Subscription Owner to notify them about security alerts. Adding your Security Contact's email address to the 'Additional email addresses' field ensures that your organization's Security Team is included in these alerts. This ensures that the proper people are aware of any potential compromise in order to mitigate the risk in a timely fashion.,-,TRUE,TRUE,TRUE,17.2,17.2,17.2,17.2 Establish and Maintain Contact Information for Reporting Security Incidents,14/02/2023,CIS Microsoft Azure Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
