"ssphp_field_display_text","ssphp_field_name"
"Business Service Index","ssphp_business_service_index"
Category,"ssphp_resource_type_category"
Environemt,"ssphp_environment"
"IP Address : All","ssphp_all_ip_addresses"
"IP Address : Private","ssphp_private_ip_address"
"IP Address : Public","ssphp_public_ip_address"
Location,"ssphp_location"
"Provisioning State","ssphp_provisioning_state"
Resource,"ssphp_name"
"Resource Group","ssphp_resource_group"
"Resource ID","ssphp_id"
"Resource Type","ssphp_type"
State,"ssphp_state"
Subscription,"ssphp_subscription"
"Subscription Name","ssphp_subscription_display_name"
"Tag : Architecture Partner","ssphp_tech_dir_arch_partner"
"Tag : Contact EMail","ssphp_tech_contact_email"
"Tag : Cost Centre","ssphp_cost_centre"
"Tag : Devops Site","ssphp_devops_site"
"Tag : Parent Business","ssphp_parent_business"
"Tag : Porfolio","ssphp_portfolio"
"Tag : Product","ssphp_product"
"Tag : SRO","ssphp_sro"
"Tag : Service","ssphp_service"
"Tag : Service Line","ssphp_service_line"
"Tag : Service Management Contact","ssphp_tech_dir_serv_mgmt_contact"
"Tag : Service Name","ssphp_service_name"
"Tag : Service Offering","ssphp_service_offering"
"Tag : Service Team","ssphp_service_team"
"Taxonomy : Group","ssphp_level_1"
"Taxonomy : Group Name","ssphp_level_1_display_name"
"Taxonomy : Service","ssphp_level_2"
"Taxonomy : Service Name","ssphp_level_2_display_name"
Tenancy,"ssphp_tenant"
"Tenancy Name","ssphp_tenant_name"
Type,"ssphp_resource_type_type"
