asb,"asset_type","cis_control","cis_safeguard_id",description,ig1,ig2,ig3,recommendation,relationship,"security_function","security_principal",title
"AM-1",Devices,1,"1.1","Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",1,1,1,"Track asset inventory and their risks",Superset,Identify,"Track your asset inventory by query and discover all your cloud resources. Logically organize your assets by  tagging and grouping your assets based on their service nature, location, or other characteristics. Ensure your security organization have access to a continuously updated inventory of assets.

Ensure your security organization can monitor the risks of the cloud assets by which security insights and risks are always aggregated centrally.","Establish and Maintain Detailed Enterprise Asset Inventory"
"AM-3",Devices,1,"1.1","Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",1,1,1,"Ensure security of asset lifecycle management
",Superset,Identify,"Ensure security attributes or configurations of the assets are always updated during the asset lifecycle.","Establish and Maintain Detailed Enterprise Asset Inventory"
,Devices,1,"1.2","Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.",1,1,1,,,Respond,,"Address Unauthorized Assets"
,Devices,1,"1.3","Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently.",0,1,1,,,Detect,,"Utilize an Active Discovery Tool"
,Devices,1,"1.4","Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently.",0,1,1,,,Identify,,"Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory"
"AM-1",Devices,1,"1.5","Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.",0,0,1,"Track asset inventory and their risks",Subset,Detect,"Track your asset inventory by query and discover all your cloud resources. Logically organize your assets by  tagging and grouping your assets based on their service nature, location, or other characteristics. Ensure your security organization have access to a continuously updated inventory of assets.

Ensure your security organization can monitor the risks of the cloud assets by which security insights and risks are always aggregated centrally.","Use a Passive Asset Discovery Tool"
"AM-1",Applications,2,"2.1","Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",1,1,1,"Track asset inventory and their risks",Superset,Identify,"Track your asset inventory by query and discover all your cloud resources. Logically organize your assets by  tagging and grouping your assets based on their service nature, location, or other characteristics. Ensure your security organization have access to a continuously updated inventory of assets.

Ensure your security organization can monitor the risks of the cloud assets by which security insights and risks are always aggregated centrally.","Establish and Maintain a Software Inventory"
"AM-3",Applications,2,"2.1","Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",1,1,1,"Ensure security of asset lifecycle management
",Superset,Identify,"Ensure security attributes or configurations of the assets are always updated during the asset lifecycle.","Establish and Maintain a Software Inventory"
,Applications,2,"2.2","Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently.",1,1,1,,,Identify,,"Ensure Authorized Software is Currently Supported"
,Applications,2,"2.3","Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",1,1,1,,,Respond,,"Address Unauthorized Software"
